species,inat_taxon_id,inat_name,inat_research_grade_obs,inat_total_photos,inat_photo_total_method,inat_sec_per_species,inat_error,gbif_key,gbif_human_obs,gbif_specimen_obs,gbif_photos,gbif_specimen_photos,combined_obs,combined_obs_specimens,combined_photos,combined_photos_specimens,family,species_binom,family_trait,genus,species_trait,hair_dimorphism,natal_coat,natal_coat_type,hair_dichromatism_any,hair_dichromatism_complete,hair_dichromatism_state,hair_dichromatism_type,ontogenetic_trajectory_color,type,key
Cacajao melanocephalus,43653.0,Cacajao melanocephalus,13,25,exact,0.83,,2436409.0,10.0,20.0,18.0,65.0,23.0,43.0,43.0,108.0,Pitheciidae,Cacajao melanocephalus,cebidae,cacajao,melanocephalus,0,0,,0,0,0,,mono_stable,additional,Cacajao melanocephalus
Callicebus caligatus,738186.0,Plecturocebus caligatus,32,54,exact,3.8,,2436384.0,0.0,0.0,0.0,0.0,32.0,32.0,54.0,54.0,Pitheciidae,Callicebus caligatus,cebidae,callicebus,caligatus,0,0,,0,0,0,,mono_stable,additional,Plecturocebus caligatus
Callicebus cinerascens,738190.0,Plecturocebus cinerascens,19,32,exact,0.95,,2436390.0,0.0,0.0,0.0,0.0,19.0,19.0,32.0,32.0,Pitheciidae,Callicebus cinerascens,cebidae,callicebus,cinerascens,0,0,,0,0,0,,mono_stable,additional,Plecturocebus cinerascens
Plecturocebus cupreus,738185.0,Plecturocebus cupreus,49,79,exact,1.32,,,,,,,49.0,49.0,79.0,79.0,Pitheciidae,Callicebus cupreus,cebidae,callicebus,cupreus,0,0,,0,0,0,,mono_stable,additional,Plecturocebus cupreus
Callicebus donacophilus,738182.0,Plecturocebus donacophilus,81,162,exact,4.74,,2436399.0,0.0,5.0,0.0,6.0,81.0,86.0,162.0,168.0,Pitheciidae,Callicebus donacophilus,cebidae,callicebus,donacophilus,0,0,,0,0,0,partial,mono_stable,additional,Plecturocebus donacophilus
Callicebus hoffmannsi,738192.0,Plecturocebus hoffmannsi,7,7,exact,0.7,,2436382.0,0.0,5.0,0.0,14.0,7.0,12.0,7.0,21.0,Pitheciidae,Callicebus hoffmannsi,cebidae,callicebus,hoffmannsi,0,0,,0,0,0,,mono_stable,additional,Plecturocebus hoffmannsi
Callicebus moloch,738189.0,Plecturocebus moloch,109,188,exact,2.23,,2436388.0,0.0,61.0,0.0,129.0,109.0,170.0,188.0,317.0,Pitheciidae,Callicebus moloch,cebidae,callicebus,moloch,0,0,,0,0,0,,mono_stable,additional,Plecturocebus moloch
Callicebus personatus,43683.0,Callicebus personatus,144,287,exact,5.01,,2436398.0,93.0,5.0,200.0,13.0,237.0,242.0,487.0,500.0,Pitheciidae,Callicebus personatus,cebidae,callicebus,personatus,0,0,,0,0,0,,mono_stable,additional,Callicebus personatus
Callicebus torquatus,738195.0,Cheracebus torquatus,2,3,exact,0.35,,2436394.0,0.0,33.0,0.0,108.0,2.0,35.0,3.0,111.0,Pitheciidae,Callicebus torquatus,cebidae,callicebus,torquatus,0,0,,0,0,0,,mono_stable,additional,Cheracebus torquatus
Callimico goeldii,43398.0,Callimico goeldii,14,23,exact,0.54,,2436464.0,9.0,28.0,14.0,56.0,23.0,51.0,37.0,93.0,Callitrichidae,Callimico goeldii,callitrichidae,callimico,goeldii,0,0,,0,0,0,,mono_stable,additional,Callimico goeldii
Callithrix aurita,43375.0,Callithrix aurita,285,397,exact,8.69,,8827576.0,184.0,3.0,396.0,4.0,469.0,472.0,793.0,797.0,Callitrichidae,Callithrix aurita,callitrichidae,callithrix,aurita,0,0,,0,0,0,,mono_stable,additional,Callithrix aurita
Callithrix flaviceps,43378.0,Callithrix flaviceps,59,96,exact,1.38,,5219543.0,42.0,1.0,75.0,1.0,101.0,102.0,171.0,172.0,Callitrichidae,Callithrix flaviceps,callitrichidae,callithrix,flaviceps,0,0,,0,0,0,,mono_stable,additional,Callithrix flaviceps
Callithrix geoffroyi,43372.0,Callithrix geoffroyi,680,1093,exact,6.6,,5219539.0,387.0,11.0,671.0,23.0,1067.0,1078.0,1764.0,1787.0,Callitrichidae,Callithrix geoffroyi,callitrichidae,callithrix,geoffroyi,0,0,,0,0,0,,mono_stable,additional,Callithrix geoffroyi
Callithrix jacchus,43373.0,Callithrix jacchus,3064,4880,exact,21.29,,5219542.0,1869.0,111.0,4065.0,261.0,4933.0,5044.0,8945.0,9206.0,Callitrichidae,Callithrix jacchus,callitrichidae,callithrix,jacchus,0,0,,0,0,0,,mono_stable,additional,Callithrix jacchus
Callithrix kuhlii,43377.0,Callithrix kuhlii,175,392,exact,3.1,,5219538.0,133.0,0.0,332.0,0.0,308.0,308.0,724.0,724.0,Callitrichidae,Callithrix kuhlii,callitrichidae,callithrix,kuhlii,0,0,,0,0,0,,mono_stable,additional,Callithrix kuhlii
Callithrix penicillata,43374.0,Callithrix penicillata,3393,5305,exact,17.47,,5219541.0,2500.0,38.0,5275.0,74.0,5893.0,5931.0,10580.0,10654.0,Callitrichidae,Callithrix penicillata,callitrichidae,callithrix,penicillata,0,0,,0,0,0,,mono_stable,additional,Callithrix penicillata
Cebus albifrons,43433.0,Cebus albifrons,12,13,exact,0.87,,2436636.0,14.0,101.0,20.0,208.0,26.0,127.0,33.0,241.0,Cebidae,Cebus albifrons,cebidae,cebus,albifrons,0,0,,0,0,0,,mono_stable,additional,Cebus albifrons
Cebus capucinus,43432.0,Cebus capucinus,280,330,exact,4.15,,2436637.0,354.0,245.0,559.0,524.0,634.0,879.0,889.0,1413.0,Cebidae,Cebus capucinus,cebidae,cebus,capucinus,0,0,,0,0,0,,mono_stable,additional,Cebus capucinus
Cebus olivaceus,43430.0,Cebus olivaceus,85,136,exact,3.03,,2436638.0,70.0,103.0,130.0,207.0,155.0,258.0,266.0,473.0,Cebidae,Cebus olivaceus,cebidae,cebus,olivaceus,0,0,,0,0,0,,mono_stable,additional,Cebus olivaceus
Cercocebus agilis,43466.0,Cercocebus agilis,94,145,exact,1.4,,2436546.0,50.0,4.0,77.0,6.0,144.0,148.0,222.0,228.0,Cercopithecidae,Cercocebus agilis,cercopithecidae,cercocebus,agilis,0,0,,0,0,0,,mono_stable,additional,Cercocebus agilis
Cercocebus atys,566523.0,Cercocebus atys,21,44,exact,1.18,,7262035.0,18.0,26.0,38.0,48.0,39.0,65.0,82.0,130.0,Cercopithecidae,Cercocebus atys,cercopithecidae,cercocebus,atys,0,0,,0,0,0,,mono_stable,additional,Cercocebus atys
Cercocebus galeritus,43468.0,Cercocebus galeritus,23,86,exact,3.02,,2436545.0,18.0,2.0,57.0,7.0,41.0,43.0,143.0,150.0,Cercopithecidae,Cercocebus galeritus,cercopithecidae,cercocebus,galeritus,0,0,,0,0,0,,mono_stable,additional,Cercocebus galeritus
Cercocebus torquatus,43467.0,Cercocebus torquatus,40,49,exact,1.8,,2436544.0,36.0,62.0,43.0,137.0,76.0,138.0,92.0,229.0,Cercopithecidae,Cercocebus torquatus,cercopithecidae,cercocebus,torquatus,0,0,,0,0,0,,mono_stable,additional,Cercocebus torquatus
Cercopithecus ascanius,43480.0,Cercopithecus ascanius,536,644,exact,6.46,,5219569.0,433.0,47.0,684.0,103.0,969.0,1016.0,1328.0,1431.0,Cercopithecidae,Cercopithecus ascanius,cercopithecidae,cercopithecus,ascanius,0,0,,0,0,0,,mono_stable,additional,Cercopithecus ascanius
Cercopithecus campbelli,566529.0,Cercopithecus campbelli,45,61,exact,1.18,,5219582.0,44.0,10.0,66.0,19.0,89.0,99.0,127.0,146.0,Cercopithecidae,Cercopithecus campbelli,cercopithecidae,cercopithecus,campbelli,0,0,,0,0,0,,mono_stable,additional,Cercopithecus campbelli
